timestamp,open,high,low,close,x,y
2025-09-30 18:30:00,113465.66,113498.06,113340.95,113458.81,0,0
2025-09-30 18:45:00,113458.81,113714.56,113458.80,113714.56,0,0
2025-09-30 19:00:00,113714.55,113914.00,113702.01,113868.09,0,0
2025-09-30 19:15:00,113868.09,113980.52,113801.00,113945.66,0,0
2025-09-30 19:30:00,113945.67,114260.00,113945.66,114212.51,0,0
2025-09-30 19:45:00,114212.51,114563.46,114204.50,114359.99,0,0
2025-09-30 20:00:00,114359.99,114500.00,114110.09,114167.71,0,0
2025-09-30 20:15:00,114167.72,114501.99,114158.80,114387.29,0,0
2025-09-30 20:30:00,114387.29,114405.47,114307.01,114307.51,0,0
2025-09-30 20:45:00,114307.52,114723.57,114307.51,114626.36,0,0
2025-09-30 21:00:00,114626.36,114754.87,114379.10,114386.13,0,0
2025-09-30 21:15:00,114386.14,114534.68,114292.00,114292.18,0,0
2025-09-30 21:30:00,114292.17,114531.97,114206.56,114372.93,0,0
2025-09-30 21:45:00,114372.93,114372.93,114136.50,114161.00,0,0
2025-09-30 22:00:00,114161.00,114356.98,114120.19,114130.31,0,0
2025-09-30 22:15:00,114130.32,114174.35,113963.77,113995.99,0,0
2025-09-30 22:30:00,113996.00,114034.37,113883.01,113923.59,0,0
2025-09-30 22:45:00,113923.60,114022.91,113917.14,113940.39,0,0
2025-09-30 23:00:00,113940.40,113940.80,113765.42,113839.99,0,0
2025-09-30 23:15:00,113839.99,114022.88,113769.58,113966.17,0,0
2025-09-30 23:30:00,113966.17,113983.98,113851.16,113971.49,0,0
2025-09-30 23:45:00,113971.50,114048.94,113945.86,114048.93,0,0
2025-10-01 00:00:00,114048.94,114308.00,114048.93,114156.18,0,0
2025-10-01 00:15:00,114156.17,114177.93,113966.67,114021.86,0,0
2025-10-01 00:30:00,114021.85,114231.26,113969.18,113969.19,0,0
2025-10-01 00:45:00,113969.19,114255.00,113969.18,114239.53,0,0
2025-10-01 01:00:00,114239.53,114398.97,114142.99,114348.16,0,0
2025-10-01 01:15:00,114348.16,114429.76,114207.47,114367.72,0,0
2025-10-01 01:30:00,114367.72,114492.22,114223.43,114413.36,0,0
2025-10-01 01:45:00,114413.36,114550.00,114360.27,114549.99,0,0
2025-10-01 02:00:00,114549.99,114551.76,114425.22,114481.09,0,0
2025-10-01 02:15:00,114481.09,114498.98,114425.22,114427.88,0,0
2025-10-01 02:30:00,114427.89,114445.99,114307.69,114324.66,0,0
